,louvain,cell type
"CD-0722-4_F11,D7",5,Unk=5
"CD-0722-4_F11,E4",4,HSC
"CD-0722-4_F11,G7",4,HSC
"CD-0722-4_F12,B10",2,Unk=2
"CD-0722-4_F12,C6",5,Unk=5
"CD-0722-4_F12,G8",9,MLP
"CD-0722-4_F12,G9",6,LMPP
"CD-0722-4_F12,G10",0,B-NK
"CD-0722-4_G1,C3",2,Unk=2
"CD-0722-4_G1,C10",1,Unk=HSC
"CD-0722-4_G1,C12",4,HSC
"CD-0722-4_G1,D11",3,MPP
"CD-0722-4_G1,G5",4,HSC
"CD-0722-4_G1,G9",4,HSC
"CD-0722-4_G2,A5",6,LMPP
"CD-0722-4_G2,B12",4,HSC
"CD-0722-4_G2,C11",6,LMPP
"CD-0722-4_G2,E2",7,MEP
"CD-0722-4_G2,G3",4,HSC
"CD-0722-4_G3,B6",4,HSC
"CD-0722-4_G3,E9",3,MPP
"CD-0722-4_G3,G3",4,HSC
"CD-0722-4_G4,C4",0,B-NK
"CD-0722-4_G4,C10",9,MLP
"CD-0722-4_G4,C11",1,Unk=HSC
"CD-0722-4_G4,D12",7,MEP
"CD-0722-4_G4,E6",0,B-NK
"CD-0722-4_G4,H1",1,Unk=HSC
"CD-0722-4_G5,A3",7,MEP
"CD-0722-4_G5,B8",1,Unk=HSC
"CD-0722-4_G5,E2",6,LMPP
"CD-0722-4_G5,H9",1,Unk=HSC
"CD-0722-4_G6,B7",1,Unk=HSC
"CD-0722-4_G6,D11",7,MEP
"CD-0722-4_G8,B6",1,Unk=HSC
"CD-0722-4_G8,E10",4,HSC
"CD-0722-4_G8,F2",1,Unk=HSC
"CD-0722-4_G8,F11",1,Unk=HSC
"CD-0722-4_G8,G1",0,B-NK
"CD-0722-4_G8,G9",4,HSC
"CD-0722-4_G9,A3",0,B-NK
"CD-0722-4_G9,B1",3,MPP
"CD-0722-4_G9,D2",7,MEP
"CD-0722-4_G9,F6",7,MEP
"CD-0722-4_G9,F11",3,MPP
"CD-0722-4_G9,H8",5,Unk=5
"CD-0722-4_G10,A5",3,MPP
"CD-0722-4_G10,A9",4,HSC
"CD-0722-4_G10,A11",6,LMPP
"CD-0722-4_G10,B2",2,Unk=2
"CD-0722-4_G10,B3",7,MEP
"CD-0722-4_G10,B5",2,Unk=2
"CD-0722-4_G10,D3",1,Unk=HSC
"CD-0722-4_G10,E7",1,Unk=HSC
"CD-0722-4_G11,A12",0,B-NK
"CD-0722-4_G11,B9",8,Unk=B-NK
"CD-0722-4_G11,C9",1,Unk=HSC
"CD-0722-4_G11,E12",0,B-NK
"CD-0722-4_G12,A6",0,B-NK
"CD-0722-4_G12,A9",1,Unk=HSC
"CD-0722-4_G12,E11",0,B-NK
"CD-0722-4_G12,F1",0,B-NK
"CD-0722-4_G12,G9",0,B-NK
"CD-0722-4_H1,B11",2,Unk=2
"CD-0722-4_H1,D2",0,B-NK
"CD-0722-4_H1,D8",7,MEP
"CD-0722-4_H1,G2",5,Unk=5
"CD-0722-4_H2,B12",4,HSC
"CD-0722-4_H2,D8",9,MLP
"CD-0722-4_H2,E6",6,LMPP
"CD-0722-4_H2,F8",2,Unk=2
"CD-0722-4_H2,H6",5,Unk=5
"CD-0722-4_H3,A11",1,Unk=HSC
"CD-0722-4_H3,F7",1,Unk=HSC
"CD-0722-4_H3,F10",3,MPP
"CD-0722-4_H4,F1",6,LMPP
"CD-0722-4_H4,F3",8,Unk=B-NK
"CD-0722-4_H4,G3",1,Unk=HSC
"CD-0722-4_H4,G11",8,Unk=B-NK
"CD-0722-4_H4,H2",1,Unk=HSC
"CD-0722-4_H5,D3",2,Unk=2
"CD-0722-4_H5,E6",0,B-NK
"CD-0722-4_H6,H3",0,B-NK
"CD-0722-4_H7,C12",4,HSC
"CD-0722-4_H7,E4",7,MEP
"CD-0722-4_H7,E5",0,B-NK
"CD-0722-4_H7,E12",6,LMPP
"CD-0722-4_H7,H12",0,B-NK
"CD-0722-4_H8,A6",3,MPP
"CD-0722-4_H8,E11",1,Unk=HSC
"CD-0722-4_H9,A3",3,MPP
"CD-0722-4_H9,A6",9,MLP
"CD-0722-4_H9,A7",5,Unk=5
"CD-0722-4_H9,D11",6,LMPP
"CD-0722-4_H9,E10",0,B-NK
"CD-0722-4_H9,F5",9,MLP
"CD-0722-4_H9,F10",3,MPP
"CD-0722-4_H9,H8",6,LMPP
"CD-0722-4_H10,A5",1,Unk=HSC
"CD-0722-4_H10,B3",5,Unk=5
"CD-0722-4_H10,B5",2,Unk=2
"CD-0722-4_H10,C3",1,Unk=HSC
"CD-0722-4_H10,C8",2,Unk=2
"CD-0722-4_H10,C11",6,LMPP
"CD-0722-4_H10,E2",5,Unk=5
"CD-0722-4_H10,F3",6,LMPP
"CD-0722-4_H10,G3",3,MPP
"CD-0722-4_H10,G9",4,HSC
"CD-0722-4_H10,H5",4,HSC
"CD-0722-4_H11,A2",1,Unk=HSC
"CD-0722-4_H11,H6",4,HSC
"CD-0722-4_H12,A1",5,Unk=5
"CD-0722-4_H12,A8",1,Unk=HSC
"CD-0722-4_H12,B4",1,Unk=HSC
"CD-0722-4_H12,C4",9,MLP
"CD-0722-4_H12,C11",0,B-NK
"CD-0722-4_H12,D2",4,HSC
"CD-0722-4_H12,D9",5,Unk=5
"CD-0722-4_H12,H8",4,HSC
